ID,Category,Question,Conditions
1,Cutoff,I have 180 cutoff. Which colleges can I get?,"cutoff=180"
2,Cutoff,What colleges can I get with 170 cutoff?,"cutoff=170"
3,Cutoff,My cutoff is 185.5. Give me college options.,"cutoff=185.5"
4,Cutoff,Which colleges are possible for 160 cutoff?,"cutoff=160"
5,Cutoff,175 cutoff which college i can get,"cutoff=175"
6,Cutoff,I scored 190 in cutoff. What are my options?,"cutoff=190"
7,Cutoff,colleges for 155 cutoff,"cutoff=155"
8,Cutoff,My cutoff is 178. Which engineering colleges can I apply?,"cutoff=178"
9,Cutoff,Show colleges suitable for 165 cutoff.,"cutoff=165"
10,Cutoff,What are my options with 172 cutoff?,"cutoff=172"
11,Cutoff,I have 182 cutoff. Suggest some colleges.,"cutoff=182"
12,Cutoff,150 cutoff any good college?,"cutoff=150"
13,Cutoff,My cutoff is 168. Which college should I choose?,"cutoff=168"
14,Cutoff,With 185 cutoff how many colleges I can get?,"cutoff=185"
15,Cutoff,I got 176.5 in cutoff. Any suggestions?,"cutoff=176.5"
16,Cutoff,Colleges for 157 cutoff?,"cutoff=157"
17,Cutoff,cutoff 192 which college?,"cutoff=192"
18,Cutoff,I have 163 cutoff. Is it enough for engineering?,"cutoff=163"
19,Cutoff,Show me colleges for 145 cutoff.,"cutoff=145"
20,Cutoff,I got 188. What are the best colleges available?,"cutoff=188"
21,Cutoff,My mark is 177. Which colleges to apply?,"cutoff=177"
22,Cutoff,Possible colleges for 162 cutoff?,"cutoff=162"
23,Cutoff,I have 174 cutoff. Give me list of colleges.,"cutoff=174"
24,Cutoff,200 cutoff college options?,"cutoff=200"
25,Cutoff,colleges list for 158 cutoff,"cutoff=158"
26,Cutoff,I have cutoff of 183. What engineering colleges are available?,"cutoff=183"
27,Cutoff,With 169 cutoff which colleges can I join?,"cutoff=169"
28,Cutoff,My cutoff is 195. Suggest top colleges.,"cutoff=195"
29,Cutoff,I got 152 cutoff. Any college possible?,"cutoff=152"
30,Cutoff,colleges for 171 cutoff in tamilnadu?,"cutoff=171"
31,Cutoff,I have 186 cutoff what are my options?,"cutoff=186"
32,Cutoff,Give me college list for 161 cutoff.,"cutoff=161"
33,Cutoff,Which colleges can I get with 179 cutoff?,"cutoff=179"
34,Cutoff,I scored 164. Is it enough for a good college?,"cutoff=164"
35,Cutoff,Show all colleges for 193 cutoff.,"cutoff=193"
36,Cutoff,My cutoff 156 any college?,"cutoff=156"
37,Cutoff,I have 181 cutoff. Tell me which colleges I qualify.,"cutoff=181"
38,Cutoff,148 cutoff engineering admission possible?,"cutoff=148"
39,Cutoff,What colleges accept 187 cutoff?,"cutoff=187"
40,Cutoff,With cutoff 173 which college to choose?,"cutoff=173"
41,Cutoff,I have 166 cutoff any good options?,"cutoff=166"
42,Cutoff,My cutoff is 191. Which top colleges can I apply for?,"cutoff=191"
43,Cutoff,Colleges for 153 cutoff please suggest.,"cutoff=153"
44,Cutoff,I got 184 cutoff. What colleges should I target?,"cutoff=184"
45,Cutoff,What are the colleges for 167 cutoff?,"cutoff=167"
46,Cutoff,I have 189 cutoff. Tell me good colleges.,"cutoff=189"
47,Cutoff,colleges available for 159 cutoff?,"cutoff=159"
48,Cutoff,My cutoff 196. Which colleges are the best?,"cutoff=196"
49,Cutoff,I have 154 cutoff. Is any good college available?,"cutoff=154"
50,Cutoff,Show colleges for 180.5 cutoff.,"cutoff=180.5"
51,Cutoff,I have 175.5 cutoff. Suggest colleges.,"cutoff=175.5"
52,Cutoff,What colleges can 160.5 cutoff get?,"cutoff=160.5"
53,Cutoff,Colleges list for 170.5 cutoff?,"cutoff=170.5"
54,Cutoff,I got 185.5 in cutoff. Give college list.,"cutoff=185.5"
55,Cutoff,My cutoff is 155.5 any options?,"cutoff=155.5"
56,Cutoff,Which college for 190.5 cutoff?,"cutoff=190.5"
57,Cutoff,Give me colleges for 165.5 cutoff.,"cutoff=165.5"
58,Cutoff,I have 197 cutoff. What colleges I can target?,"cutoff=197"
59,Cutoff,colleges for 143 cutoff?,"cutoff=143"
60,Cutoff,My cutoff 198. Show top options.,"cutoff=198"
61,Cutoff,I got 147 cutoff any college possible in tamilnadu?,"cutoff=147"
62,Cutoff,What is the expected cutoff for government colleges this year?,"cutoff=general"
63,Cutoff,Which colleges closed at 199 last year?,"cutoff=199"
64,Cutoff,I have 176 cutoff. How many colleges I can get?,"cutoff=176"
65,Cutoff,My cutoff is 146. Please suggest any college.,"cutoff=146"
66,Cutoff,Colleges for 194 cutoff?,"cutoff=194"
67,Cutoff,I have 169.5 cutoff. Is there any good college?,"cutoff=169.5"
68,Cutoff,Show me colleges I can get with 183.5 cutoff.,"cutoff=183.5"
69,Cutoff,I got 160 in cutoff. Any self-financing colleges?,"cutoff=160"
70,Cutoff,My cutoff is 174.5. Give safe options.,"cutoff=174.5"
71,Cutoff,I have 199.5 cutoff. Best college?,"cutoff=199.5"
72,Cutoff,Colleges for 149 cutoff in Tamil Nadu?,"cutoff=149"
73,Cutoff,My cutoff is 189.5. What can I get?,"cutoff=189.5"
74,Cutoff,Which colleges possible for 151 cutoff?,"cutoff=151"
